DSM_No	Name	Recommended_T_(C)	Domain
9849	Abiotrophia_defectiva	37	Bacteria
1143	Absidia_coerulea	24	Fungi
3018	Absidia_coerulea	24	Fungi
1144	Absidia_corymbifera	30	Fungi
811	Absidia_glauca	24	Fungi
63295	Absidia_glauca	24	Fungi
63296	Absidia_glauca	24	Fungi
2254	Absidia_pseudocylindrospora	24	Fungi
812	Absidia_repens	24	Fungi
3192	Absidia_spinosa	27	Fungi
28897	Acanthopleuribacter_pedis	25	Bacteria
14247	Acaricomes_phytoseiuli	25	Bacteria
23669	Acetatifactor_muris	37	Bacteria
5522	Acetitomaculum_ruminis	37	Bacteria
1870	Acetivibrio_cellulolyticus	37	Bacteria
3005	Acetivibrio_ethanolgignens	37	Bacteria
2002	Acetobacter_aceti	26	Bacteria
3508	Acetobacter_aceti	26	Bacteria
14362	Acetobacter_cerevisiae	28	Bacteria
2324	Acetobacter_cerevisiae	26	Bacteria
15549	Acetobacter_cibinongensis	30	Bacteria
4493	Acetobacter_estunensis	28	Bacteria
19596	Acetobacter_fabarum	28	Bacteria
18895	Acetobacter_ghanensis	30	Bacteria
15552	Acetobacter_indonesiensis	30	Bacteria
3805	Acetobacter_indonesiensis	25	Bacteria
27328	Acetobacter_lambici	28	Bacteria
4491	Acetobacter_lovaniensis	28	Bacteria
14337	Acetobacter_malorum	28	Bacteria
23921	Acetobacter_nitrogenifigens	28	Bacteria
23926	Acetobacter_oeni	25	Bacteria
15550	Acetobacter_orientalis	30	Bacteria
4492	Acetobacter_orleanensis	28	Bacteria
25273	Acetobacter_pasteurianus	28	Bacteria
46617	Acetobacter_pasteurianus	28	Bacteria
46618	Acetobacter_pasteurianus	28	Bacteria
46619	Acetobacter_pasteurianus	28	Bacteria
2006	Acetobacter_pasteurianus	26	Bacteria
2347	Acetobacter_pasteurianus	26	Bacteria
3509	Acetobacter_pasteurianus	26	Bacteria
11825	Acetobacter_pomorum	30	Bacteria
18889	Acetobacter_senegalensis	35	Bacteria
15548	Acetobacter_syzygii	30	Bacteria
15551	Acetobacter_tropicalis	30	Bacteria
8239	Acetobacterium_bakii	20	Bacteria
2925	Acetobacterium_carbinolicum	30	Bacteria
16427	Acetobacterium_carbinolicum	30	Bacteria
11527	Acetobacterium_dehalogenans	25	Bacteria
8238	Acetobacterium_fimetarium	30	Bacteria
4132	Acetobacterium_malicum	30	Bacteria
8237	Acetobacterium_paludosum	20	Bacteria
5193	Acetobacterium_sp.	30	Bacteria
8909	Acetobacterium_sp.	30	Bacteria
9077	Acetobacterium_sp.	30	Bacteria
9173	Acetobacterium_tundrae	20	Bacteria
1911	Acetobacterium_wieringae	30	Bacteria
1030	Acetobacterium_woodii	30	Bacteria
2396	Acetobacterium_woodii	30	Bacteria
5501	Acetohalobium_arabaticum	37	Bacteria
20678	Acetomicrobium_faecale	70	Bacteria
20664	Acetomicrobium_flavidum	55	Bacteria
6540	Acetonema_longum	30	Bacteria
11382	Acetonema_sp.	30	Bacteria
19106	Acholeplasma_laidlawii	37	Bacteria
23060	Acholeplasma_laidlawii	37	Bacteria
4612	Achromobacter_denitrificans	30	Bacteria
11850	Achromobacter_denitrificans	30	Bacteria
30026	Achromobacter_denitrificans	30	Bacteria
30003	Achromobacter_immobilis	30	Bacteria
23807	Achromobacter_insolitus	28	Bacteria
10342	Achromobacter_piechaudii	30	Bacteria
11386	Achromobacter_piechaudii	30	Bacteria
653	Achromobacter_ruhlandii	30	Bacteria
30031	Achromobacter_sp.	30	Bacteria
30128	Achromobacter_sp.	30	Bacteria
