NCTC_9999	Actinomadura_pelletieri				
NCTC_9998	Arcanobacterium_haemolyticum				
NCTC_9997	klebsiella_aerogenes				
NCTC_9994	Streptococcus_pyogenes				
NCTC_9993	Streptococcus_agalactiae				
NCTC_9992	Shigella_sonnei				
NCTC_9991	Comamonas_terrigena				
NCTC_9989	Shigella_flexneri				
NCTC_9969	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9968	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9967	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9966	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9965	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9964	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9963	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9962	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9961	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9960	Enterobacter_cloacae				
NCTC_9959	salmonella_enterica_subsp._enterica				
NCTC_9958	Salmonella_				
NCTC_9957	Shigella_dysenteriae				
NCTC_9956	Shigella_dysenteriae				
NCTC_9955	Shigella_dysenteriae				
NCTC_9954	Shigella_dysenteriae				
NCTC_9953	Shigella_dysenteriae				
NCTC_9952	Shigella_dysenteriae				
NCTC_9951	Shigella_flexneri				
NCTC_9950	Shigella_flexneri				
NCTC_9949	salmonella_enterica_subsp._enterica				
NCTC_9948	Salmonella_species				
NCTC_9947	Bacillus_cereus				
NCTC_9946	Bacillus_cereus				
NCTC_9945	Bacillus_cereus				
NCTC_9944	Staphylococcus_aureus				
NCTC_9943	pseudomonas_syncyanea				
NCTC_9942	salmonella_enterica_subsp._enterica				
NCTC_9941	salmonella_enterica_subsp._enterica				
NCTC_9940	Serratia_marcescens				
NCTC_9939	Bacillus_cereus				
NCTC_9938	Enterococcus_avium				
NCTC_9937	Salmonella_				
NCTC_9936	salmonella_enterica_subsp._salamae				
NCTC_9935	Actinomyces_odontolyticus				
NCTC_9933	Bacillus_subtilis				
NCTC_9932	Bacillus_licheniformis				
NCTC_9931	Actinomyces_odontolyticus				
NCTC_9930	salmonella_enterica_subsp._salamae				
NCTC_9929	Salmonella_				
NCTC_9928	salmonella_enterica_subsp._enterica				
NCTC_9926	Salmonella_				
NCTC_9925	Salmonella_				
NCTC_9924	Salmonella_				
NCTC_9923	Salmonella_				
NCTC_9922	salmonella_enterica_subsp._enterica				
NCTC_9921	Salmonella_				
NCTC_9920	Salmonella_				
NCTC_9919	Salmonella_				
NCTC_9918	salmonella_enterica_subsp._enterica				
NCTC_9917	salmonella_enterica_subsp._enterica				
NCTC_9916	Salmonella_				
NCTC_9915	salmonella_enterica_subsp._salamae				
NCTC_9914	Salmonella_				
NCTC_9913	Salmonella_				
NCTC_9912	salmonella_enterica_subsp._enterica				
NCTC_9911	salmonella_enterica_subsp._enterica				
NCTC_9910	Salmonella_				
NCTC_9908	Salmonella_				
NCTC_9907	Salmonella_				
NCTC_9906	salmonella_enterica_subsp._salamae				
NCTC_9904	salmonella_enterica_subsp._enterica				
NCTC_9903	Salmonella_				
NCTC_9901	Salmonella_				
NCTC_9900	salmonella_enterica_subsp._enterica				
NCTC_9899	Salmonella_				
NCTC_9898	salmonella_enterica_subsp._enterica				
NCTC_9897	Salmonella_				
NCTC_9896	Salmonella_				
NCTC_9895	salmonella_enterica_subsp._enterica				
NCTC_9894	Salmonella_				
NCTC_9893	salmonella_enterica_subsp._enterica				
NCTC_9892	Salmonella_				
NCTC_9891	Salmonella_				
NCTC_9890	Salmonella_				
NCTC_9888	Salmonella_				
NCTC_9887	salmonella_enterica_subsp._enterica				
NCTC_9886	salmonella_enterica_subsp._enterica				
NCTC_9885	salmonella_enterica_subsp._enterica				
NCTC_9884	salmonella_enterica_subsp._enterica				
NCTC_9882	Salmonella_				
NCTC_9881	salmonella_enterica_subsp._enterica				
NCTC_9880	Salmonella_				
NCTC_9879	Salmonella_				
NCTC_9878	salmonella_enterica_subsp._enterica				
NCTC_9877	Salmonella_				
NCTC_9876	salmonella_enterica_subsp._enterica				
NCTC_9875	salmonella_enterica_subsp._enterica				
NCTC_9874	salmonella_enterica_subsp._enterica				
NCTC_9873	salmonella_enterica_subsp._enterica				
NCTC_9872	salmonella_enterica_subsp._enterica				
NCTC_9871	salmonella_enterica_subsp._enterica				
NCTC_9870	Salmonella_				
NCTC_9869	salmonella_enterica_subsp._enterica				
NCTC_9868	salmonella_enterica_subsp._enterica				
NCTC_9866	Sarcina_				
NCTC_9865	Staphylococcus_epidermidis				
NCTC_9864	Corynebacterium_mycetoides				
NCTC_9863	Listeria_monocytogenes				
NCTC_9862	Listeria_monocytogenes				
NCTC_9855	escherichia_coli_serotypes:_o_antigen_series				
NCTC_9854	salmonella_enterica_subsp._salamae				
NCTC_9853	salmonella_enterica_subsp._enterica				
NCTC_9852	salmonella_enterica_subsp._enterica				
