Identification	Name	Type	Temperature	Risk	Source
CIP_100004	Humihabitans_oryzae	Bacteria	37	2	Human,_blood
CIP_100005	Achromobacter_xylosoxidans_xylosoxidans	Bacteria	30	1	Human,_blood
CIP_100006	Campylobacter_fetus_fetus	Bacteria	37	2	Human,_blood
CIP_100007	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100008	Cupriavidus_pauculus	Bacteria	30	1	
CIP_100009	Achromobacter_insulatus	Bacteria	30	1	
CIP_100010	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100011	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100012	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100013	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100014	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100015	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100016	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100017	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100018	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100019	Achromobacter_sp.	Bacteria	30	1	
CIP_100020	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	
CIP_100021	Eikenella_corrodens	Bacteria	37	2	Human,_sinus
CIP_100025	Moraxella_osloensis	Bacteria	30	1	Human,_blood
CIP_100026	Moraxella_osloensis	Bacteria	30	1	Human,_blood
CIP_100027	Pseudomonas_mendocina	Bacteria	30	1	Human,_conjunctiva
CIP_100029	Achromobacter_xylosoxidans_xylosoxidans	Bacteria	30	1	Human,_blood
CIP_100032	Haemophilus_influenzae_II	Bacteria	37	2	Human
CIP_100033	Haemophilus_influenzae_II	Bacteria	37	2	Human
CIP_100037	Moraxella_osloensis	Bacteria	30	1	Human,_blood
CIP_100041	Oligella_urethralis	Bacteria	30	1	Human,_ear
CIP_100062	Myroides_odoratimimus	Bacteria	30	1	Human
CIP_100068	Flavobacterium_johnsoniae	Bacteria	25	1	
CIP_100069T	Xanthomonas_campestris	Bacteria	25	1	Brassica_oleracea_var._gemmifera
CIP_100070	Morganella_morganii_morganii	Bacteria	30	2	Peritoneal_fluid
CIP_100082	Haemophilus_parahaemolyticus	Bacteria	37	2	
CIP_100088	Rhizobium_radiobacter	Bacteria	30	1	Human,_peritoneal_fluid
CIP_100100T	Listeria_seeligeri_1/2b	Bacteria	30	1	Soil
CIP_100113T	Neisseria_polysaccharea	Bacteria	30	1	Healthy_child,_throat
CIP_100127	Chryseobacterium_hominis	Bacteria	30	1	Human,_neck_abscess
CIP_100134	Eikenella_corrodens	Bacteria	37	2	
CIP_100139	Eikenella_corrodens	Bacteria	37	2	
CIP_100140	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	Human,_peritoneal_lavage
CIP_100142	Achromobacter_xylosoxidans_denitrificans	Bacteria	30	1	Human,_blood
CIP_100149	Actinomyces_naeslundii	Bacteria	37	2	Human,_cholescystectomy
CIP_100151	Corynebacterium_jeikeium	Bacteria	30	2	
CIP_100155	Chryseobacterium_hominis	Bacteria	30	1	Human,_pus
CIP_100158	Erysipelothrix_rhusiopathiae	Bacteria	37	2	Blood
CIP_100160	Corynebacterium_striatum	Bacteria	30	2	Human
CIP_100161	Corynebacterium_diphtheriae	Bacteria	37	2	
CIP_100162	Corynebacterium_minutissimum	Bacteria	30	2	Human
CIP_100163	Corynebacterium_diphtheriae	Bacteria	37	2	Human,_throat
CIP_100166	Gemella_haemolysans	Bacteria	37	1	Human,_blood
