 	Identification	Name	Group of collection	Collection		Strain type		Synonyms	Reference équilibre	Date d'isolement	T ° of incubation	Bibliography	Sequence reference	Private Strain	Genotype	strain MOT	Wanted MTA	GMO strain	Restrictions on the dissemination	History of deposit	Isolated from	Properties	Classification	Clinical shape	Phenotype	Comments	Sequence reference	pathogenicity	Lieu	Classe emballage	Atmosphère incubation	Medium 
1	PCC 10605	Cyanobacterium	Cyanobactéries	PCC	407					01-01-2004	25°C°	Moro et al., 2007  		false		false	false	false			Maturation mud and tanks	%G+C: 34.9 Genome size:4,177 Nutrition: obligate photoautotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: - CCA: nd mobility: - gas vesicule: -				GCA_000317675.1			Montegrotto terme, Padua, Italy			
2	PCC 10914	Mastigocladiopsis repens	Cyanobactéries	PCC	407						22°C°	Hernandez-Mariné et al., 1992; Merino et al., 1994; Gugger and Hoffmann 2004  		false		false	false	false		R.Rippka << (I) M. Hernandez-Mariné  Mastigocladiopsis repens MORA 		%G+C: 43.5 Genome size: 6.31 nutrition: nd salt tolerance: nd N2 fixation: aerobic Mobility:(positive), by gliding; hormogonia only Pigments C-PE: nd Pigments PEC: nd CCA: nd gas vesicles:absent				Media: BG11o (n° 1549)GCA_000315565.1					Aerobic	
3	PCC 6301	Synechococcus	Cyanobactéries	PCC	407			Anacystis nidulans, Synechococcus leopoliensis	CCALA 188;CCMEE 334;PPMSU 64;UTCC 102;DCC D0033 as Anacystis nidulans (catalogue 1989);SAG 1402-1 as Synechococcus leopoliensis;NIBB 1018 as Anacystis nidulans;UTEX 625 as Synechococcus leopoliensis;CCAP 1405/1 as Synechococcus leopoliensis;IAM M-6	01-01-1952	22°C°	Am. J. Bot., 1955, 42, 282-287; Bacteriol. Rev., 1971, 35, 171-205; J. Phycol., 1976, 12, 99-105; J. Gen. Microbiol., 1979, 111, 1-61; Ann. Microbiol. (Institut Pasteur), 1983, 134B, 21-36; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514. 		false		false	false	false		M. B. Allen <- (I) W. A. Kratz as Anacystis nidulans Tx20	Waller Creek	%G+C 55.1 Genome size (Gdal) 2.12 Salt tolerance stenohaline N2 fixation negative Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 1-1.2 W/D (transient stages) n/a Phages (sens) AS-1M Phages (res) SM-1 Mobility negative Gas vesicles negative Nutrition obligate autotroph Designation: ATCC 27144 , ATCC 27344 				media: BG11 (n° 1539)GCA_000010065.1			Austin, Texas, USA	B	Aerobic	
4	PCC 6302	Nostoc	Cyanobactéries	PCC	407			Anabaena sp., Nostoc muscorum	UTEX 1551 as Anabaena sp.;CCAP 1453/20 as Nostoc muscorum		22°C°	J. Gen. Microbiol., 1979, 111, 1-61.		false		false	false	false		M.B. Allen	Source unknown	%G+C 45.1 Genome size (Gdal) 5.71 Nutrition: Chemioheterotroph N2 fixation anaerobic Pigments: C-PE + Pigments: PEC - CCA I W/D (vegetatives cells) nd W/D (transient stages) nd Mobility negative Gas vesicles negative Designation: ATCC 27897 (no longer available) 								B	Aerobic	1539
5	PCC 6303	Calothrix	Cyanobactéries	PCC	407			Calothrix parietina	UTEX 484 (Starr, 1964, no longer available);SAG 1410-3 as Calothrix parietina (SchlÃ¶sser, 1982)	01-01-1948	22°	in «Symposium on the Culturing of Algae», 1950, Charles F. Kettering Foundation, Dayton, USA, 27-44; J. Gen. Microbiol., 1979, 111, 1-61; Subsection IV, in «Bergey's Manual of Systematic Bacteriology», 2001b, 2nd Ed., 1, 562-589.		false		false	false	false		M. B. Allen <- G. C. Gerloff as Calothrix parietina 1018	Water, lake	%G+C 41.8 Genome size (Gdal) 5.07 Nutrition: Photoheterotroph N2 fixation aerobic Pigments: C-PE + Pigments: PEC - CCA II W/D (vegetatives cells) nd W/D (transient stages) nd Mobility transient Designation: ATCC 29156 				GCA_000317435.1			Wisconsin, USA	B	Aerobic	1547
6	PCC 6304	Oscillatoria	Cyanobactéries	PCC	407			Microcoleus vaginatus, Oscillatoria acuminata	SAG 1449-3		22°	J. Gen. Microbiol., 1979, 111, 1-61; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection III, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 539-562.		false		false	false	false		M. B. Allen <- (I) W. Koch as Microcoleus vaginatus SAG 1449-3	Source unknown	%G+C 49 Genome size (Gdal) 4.38 Nutrition obligate autotroph N2 fixation negative Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 4-5 W/D (transient stages) n/a Mobility permanent Designation: ATCC 27930 				GCA_000317105.1				B	Aerobic	1539
7	PCC 6305	Tolypothrix	Cyanobactéries	PCC	407			Nostoc sp.	UTEX 1544 as Nostoc sp.		22°			false		false	false	false		M.B. Allen as Nostoc sp.	Fresh water	%G+C 42.7 Genome size (Gdal) 4.63 Nutrition: Chemioheterotroph N2 fixation anaerobic Pigments: C-PE + Pigments: PEC - CCA III W/D (vegetatives cells) nd W/D (transient stages) nd Mobility negative Gas vesicles negative 								B	Aerobic	1539
8	PCC 6306	Leptolyngbya	Cyanobactéries	PCC	407			Plectonema notatum, Plectonema boryanum	ACMM 367 as LPP groupe B;CCAP 1463/1 as Plectonema boryanum;DCC D0674 as Plectonema boryanum;UTEX B 482 as Plectonema boryanum;UTEX B 581 as Plectonema boryanum;UTEX B 1542 as Plectonema boryanum		22°	Arch. Mikrobiol., 1952, 17, 34-53; J. Gen. Microbiol., 1979, 111, 1-61; Methods Enzymol., 1988, 167, 28-67; Catalogue & Taxonomic Handbook, 1992, Institut Pasteur, Paris, 1-103; Subsection III, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 539-562.		false		false	false	false		M. B. Allen <- (P) M. T. Dyar as Plectonema notatum	Fresh water (according to CCAP catalogue 1988)	%G+C 48.8 Genome size (Gdal) 4.78 Nutrition: Photoheterotroph N2 fixation anaerobic Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 1.8-2.3 Phages (sens) LPP-1 W/D (transient stages) n/a Mobility transient Gas vesicles negative Designation: ATCC 27894 				GCA_000353285.1				B	Aerobic	1539
9	PCC 6307	Cyanobium	Cyanobactéries	PCC	407			Coccochloris peniocystis	UTEX 1548 (no longer available);UTCC 70 as Coccochloris peniocystis;UTCC 71 as Coccochloris peniocystis	01-01-1949	22°	in «Symposium on the Culturing of Algae», 1950, Charles F. Kettering Foundation, Dayton, USA, 27-44; Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Ann. Microbiol. (Institut Pasteur), 1983, 134B, 21-36; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514; Bacteriol. Rev., 1971, 35, 171-205.		false		false	false	false		M. M. Allen <- (I) G. C. Gerloff  as Coccochloris peniocystis 1020	Water, lake	%G+C 69.7 Genome size (Gdal) 2.56 Nutrition obligate autotroph Salt tolerance stenohaline N2 fixation negative Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 0.8-1 Phages (sens) SM-1 W/D (transient stages) n/a Phages (res) AS-1M Mobility negative Gaz vesicles negative Designation: ATCC 27147 as Synechococcus sp 				GCA_000316515.1			Wisconsin, USA	B	Aerobic	1539
10	PCC 6308	Geminocystis herdmanii	Cyanobactéries	PCC	407			Anacystis montana, Gloeocapsa alpicola	ACMM 441;CALU 743;UTEX LB 1598 as Gloeocapsa alpicola;CCAP 1430/1	01-01-1949	22°C°	in «Symposium on the Culturing of Algae», 1950, Charles F. Kettering Foundation, Dayton, USA, 27-44; Bacteriol. Rev., 1971, 35, 171-205; J. Gen. Microbiol., 1979, 111, 1-61; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514.		false		false	false	false		M. M. Allen <- (I) G. C. Gerloff as Gloeocapsa alpicola 1051	Water, lake	%G+C 34.7 Nutrition obligate autotroph Salt tolerance stenohaline N2 fixation negative Pigments: C-PE - Pigments: PEC - CCA - W/D (vegetatives cells) 3.5-4 W/D (transient stages) n/a Mobility negative Gas vesicles negative Designation: ATCC 27150 				GCA_000332235.1			Wisconsin, USA	B	Aerobic	1539
